iter	Passed	Remaining
0	1	112
1	2	106
2	3	106
3	4	103
4	5	102
5	6	101
6	7	100
7	8	98
8	9	96
9	10	96
10	11	95
11	12	93
12	13	92
13	14	91
14	15	90
15	16	88
16	17	86
17	18	85
18	19	84
19	20	83
20	21	82
21	23	81
22	24	80
23	25	79
24	25	77
25	27	76
26	28	75
27	29	74
28	30	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	60
42	44	59
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	59	44
57	59	43
58	61	42
59	61	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	28
73	76	27
74	77	25
75	78	24
76	80	23
77	81	22
78	81	21
79	82	20
80	83	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
